Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ThirdSsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotBathrooms,HouseAge,Remodeled,IsNew,NeighRich,Haspool,Has2ndfloor,Hasgarage,Hasbsmt,Hasfireplace,TotalSqFeet,TotalPorchSF
1,60,RL,65.0,8450,Pave,None,0,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,1,196.0,3,2,PConc,3,3,1,6,706.0,1,0.0,150.0,856.0,GasA,60,Y,SBrkr,856,854,0,1710,1.0,0.0,2,1,3,1,3,8,7,0,0,Attchd,2003.0,2,2.0,548.0,3,3,60,0,61,0,0,0,0,0,None,None,0,2,2008,WD,Normal,208500.0,3.5,5,0,0,1,0,1,1,1,0,2566.0,61
2,20,RL,80.0,9600,Pave,None,0,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,0,0.0,2,2,CBlock,3,3,4,5,978.0,1,0.0,284.0,1262.0,GasA,20,Y,SBrkr,1262,0,0,1262,0.0,1.0,2,0,3,1,2,6,7,1,3,Attchd,1976.0,2,2.0,460.0,3,3,20,298,0,0,0,0,0,0,None,None,0,5,2007,WD,Normal,181500.0,2.5,31,0,0,1,0,0,1,1,1,2524.0,0
3,60,RL,68.0,11250,Pave,None,1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,1,162.0,3,2,PConc,3,3,2,6,486.0,1,0.0,434.0,920.0,GasA,60,Y,SBrkr,920,866,0,1786,1.0,0.0,2,1,3,1,3,6,7,1,3,Attchd,2001.0,2,2.0,608.0,3,3,60,0,42,0,0,0,0,0,None,None,0,9,2008,WD,Normal,223500.0,3.5,7,1,0,1,0,1,1,1,1,2706.0,42
4,70,RL,60.0,9550,Pave,None,1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,0,0.0,2,2,BrkTil,2,4,1,5,216.0,1,0.0,540.0,756.0,GasA,70,Y,SBrkr,961,756,0,1717,1.0,0.0,1,0,3,1,3,7,7,1,4,Detchd,1998.0,1,3.0,642.0,3,3,70,0,35,272,0,0,0,0,None,None,0,2,2006,WD,Abnorml,140000.0,2.0,91,1,0,1,0,1,1,1,1,2473.0,307
5,60,RL,84.0,14260,Pave,None,1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,1,350.0,3,2,PConc,3,3,3,6,655.0,1,0.0,490.0,1145.0,GasA,60,Y,SBrkr,1145,1053,0,2198,1.0,0.0,2,1,4,1,3,9,7,1,3,Attchd,2000.0,2,3.0,836.0,3,3,60,192,84,0,0,0,0,0,None,None,0,12,2008,WD,Normal,250000.0,3.5,8,0,0,2,0,1,1,1,1,3343.0,84
6,50,RL,85.0,14115,Pave,None,1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,0,0.0,2,2,Wood,3,3,1,6,732.0,1,0.0,64.0,796.0,GasA,50,Y,SBrkr,796,566,0,1362,1.0,0.0,1,1,1,1,2,5,7,0,0,Attchd,1993.0,1,2.0,480.0,3,3,50,40,30,0,320,0,0,0,MnPrv,Shed,700,10,2009,WD,Normal,143000.0,2.5,16,1,0,1,0,1,1,1,0,2158.0,350
7,20,RL,75.0,10084,Pave,None,0,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,2,186.0,3,2,PConc,4,3,3,6,1369.0,1,0.0,317.0,1686.0,GasA,20,Y,SBrkr,1694,0,0,1694,1.0,0.0,2,0,3,1,3,7,7,1,4,Attchd,2004.0,2,2.0,636.0,3,3,20,255,57,0,0,0,0,0,None,None,0,8,2007,WD,Normal,307000.0,3.0,3,1,0,1,0,0,1,1,1,3380.0,57
8,60,RL,80.0,10382,Pave,None,1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,2,240.0,2,2,CBlock,3,3,2,5,859.0,4,32.0,216.0,1107.0,GasA,60,Y,SBrkr,1107,983,0,2090,1.0,0.0,2,1,3,1,2,7,7,2,3,Attchd,1973.0,2,2.0,484.0,3,3,60,235,204,228,0,0,0,0,None,Shed,350,11,2009,WD,Normal,200000.0,3.5,36,0,0,1,0,1,1,1,1,3197.0,432
9,50,RM,51.0,6120,Pave,None,0,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,0,0.0,2,2,BrkTil,2,3,1,1,0.0,1,0.0,952.0,952.0,GasA,50,Y,FuseF,1022,752,0,1774,0.0,0.0,2,0,2,2,2,8,6,2,3,Detchd,1931.0,1,2.0,468.0,2,3,50,90,0,205,0,0,0,0,None,None,0,4,2008,WD,Abnorml,129900.0,2.0,77,1,0,1,0,1,1,1,1,2726.0,205
10,190,RL,50.0,7420,Pave,None,0,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,0,0.0,2,2,BrkTil,2,3,1,6,851.0,1,0.0,140.0,991.0,GasA,190,Y,SBrkr,1077,0,0,1077,1.0,0.0,1,0,2,2,2,5,7,2,3,Attchd,1939.0,2,1.0,205.0,4,3,190,0,4,0,0,0,0,0,None,None,0,1,2008,WD,Normal,118000.0,2.0,69,1,0,1,0,0,1,1,1,2068.0,4
